policy_id,policy_state,policy_deductible,policy_annual_premium,insured_age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,claim_amount,total_claim_amount,fraud_reported
POL105590,PA,200,875.58,69,MALE,College,Lawyer,yachting,2024-12-06,Multi-vehicle Collision,Side,Minor Damage,Fire,TX,Carlsonfort,21,2,0,3,Yes,7338.31,10200.99,N
POL113255,PA,400,753.07,32,MALE,High School,Lawyer,paintball,2025-04-12,Parked Car,Rear,Total Loss,Fire,GA,Wendyview,20,4,1,1,Yes,19530.76,18271.54,N
POL115686,NY,1000,898.19,73,FEMALE,Masters,Technician,movies,2025-03-15,Vehicle Theft,Side,Minor Damage,,NC,East Cristian,13,4,1,5,No,3794.38,3540.68,Y
POL125110,MI,400,674.87,62,MALE,High School,Teacher,hiking,2024-06-01,Single Vehicle Collision,Rear,Total Loss,Police,MI,Michaelfurt,7,3,4,3,No,10095.94,14655.7,N
POL102462,PA,300,1354.33,63,MALE,High School,Engineer,paintball,2025-08-23,Parked Car,Rear,Minor Damage,,IL,Lake Angelaland,3,4,1,1,No,28088.09,23889.94,Y
POL100121,NY,700,1370.98,24,MALE,Masters,Teacher,yachting,2024-12-15,Parked Car,Front,Minor Damage,Police,IL,New Eric,13,1,2,0,Yes,1273.74,1461.84,N
POL101045,PA,800,1074.79,58,OTHER,High School,Sales,hiking,2024-05-03,Single Vehicle Collision,Front,Total Loss,Fire,NY,North Deborahstad,10,3,4,1,Yes,15350.67,17559.21,N
POL115436,PA,700,1339.38,73,FEMALE,High School,Sales,yachting,2024-03-13,Single Vehicle Collision,Unknown,Minor Damage,,MI,Toddchester,11,1,4,2,Yes,18409.34,19214.27,Y
POL123124,NC,500,1232.17,52,FEMALE,College,Doctor,hiking,2025-03-09,Multi-vehicle Collision,Side,Minor Damage,Ambulance,MI,New Karen,16,1,4,5,Yes,18788.24,16959.0,N
POL111244,NC,200,927.47,39,FEMALE,College,Lawyer,yachting,2024-11-08,Vehicle Theft,Side,Total Loss,,OH,East Albertland,17,3,1,0,No,15700.14,17954.69,Y
POL115986,NY,800,724.71,18,FEMALE,High School,Sales,yachting,2024-05-09,Parked Car,Front,Minor Damage,Ambulance,NY,Deanland,21,2,3,5,No,12160.77,10305.97,N
POL128287,GA,800,1331.22,33,FEMALE,Masters,Technician,movies,2024-08-04,Vehicle Theft,Unknown,Minor Damage,Police,IL,East Javierbury,6,4,3,1,Yes,19203.51,21809.42,N
POL126496,TX,500,935.96,28,OTHER,High School,Clerk,movies,2024-10-11,Single Vehicle Collision,Side,Major Damage,Ambulance,FL,Riversmouth,7,1,3,5,Yes,16902.49,21841.4,N
POL102075,OH,800,759.4,53,OTHER,High School,Doctor,yachting,2024-10-17,Single Vehicle Collision,Side,Minor Damage,Fire,MI,Shepherdton,8,4,2,4,No,3320.08,3785.89,N
POL127232,MI,400,1403.6,44,FEMALE,PhD,Clerk,hiking,2025-10-15,Parked Car,Side,Minor Damage,Ambulance,MI,Olsonburgh,18,4,1,0,No,2789.46,3690.75,N
POL113935,NC,500,1483.1,51,MALE,PhD,Clerk,paintball,2025-10-23,Parked Car,Side,Total Loss,Ambulance,OH,North Tinatown,21,1,0,4,Yes,10604.35,11473.04,N
POL116453,GA,500,1065.46,66,MALE,PhD,Sales,camping,2025-05-09,Parked Car,Side,Major Damage,Police,PA,Michaelville,12,3,1,5,No,1097.79,1169.82,N
POL108271,PA,800,1028.99,35,FEMALE,Masters,Doctor,movies,2023-12-10,Parked Car,Rear,Major Damage,Fire,NY,New Melindashire,8,1,3,4,No,15459.44,19607.26,N
POL126807,NY,800,1278.41,24,OTHER,College,Sales,movies,2024-12-05,Vehicle Theft,Rear,Minor Damage,,FL,Castrofurt,18,3,2,0,Yes,8515.1,7327.47,Y
POL104926,NY,300,1119.81,31,MALE,Masters,Clerk,chess,2025-08-08,Parked Car,Side,Major Damage,Ambulance,MI,Dixonton,14,3,1,2,Yes,11036.82,16105.73,Y
POL124681,IL,400,1396.98,44,MALE,PhD,Clerk,camping,2023-11-10,Multi-vehicle Collision,Unknown,Minor Damage,,NC,West Darylberg,15,3,0,1,Yes,12453.83,17031.63,N
POL107583,FL,600,1408.44,33,FEMALE,PhD,Technician,reading,2024-01-12,Vehicle Theft,Side,Minor Damage,Ambulance,IL,Gabrielaberg,19,3,3,3,No,8377.64,16484.91,N
POL104807,CA,400,1310.99,53,MALE,Masters,Clerk,movies,2025-09-01,Parked Car,Rear,Major Damage,,NY,Johnsonchester,13,3,3,2,Yes,7340.92,8089.99,Y
POL125766,FL,400,917.14,35,OTHER,High School,Teacher,paintball,2025-09-13,Vehicle Theft,Side,Total Loss,Ambulance,FL,Port Jason,10,2,1,1,No,9286.19,8448.99,N
POL100978,NC,700,1479.44,25,MALE,Masters,Technician,hiking,2024-11-07,Single Vehicle Collision,Front,Major Damage,Ambulance,OH,Petersonside,4,3,4,5,No,12049.03,12138.81,N
POL115050,TX,800,1307.09,62,MALE,College,Doctor,camping,2025-06-26,Single Vehicle Collision,Rear,Major Damage,,CA,Kaylaburgh,10,2,0,2,Yes,967.81,1157.3,N
POL105046,FL,500,1123.57,49,OTHER,High School,Lawyer,yachting,2025-04-08,Parked Car,Front,Minor Damage,Fire,NC,Scottton,5,4,2,1,No,15199.0,15403.64,N
POL115196,CA,300,661.06,24,MALE,College,Sales,paintball,2024-11-01,Single Vehicle Collision,Unknown,Minor Damage,Police,IL,South Chadport,18,3,2,2,Yes,784.83,992.2,Y
POL100491,NY,600,1459.97,70,FEMALE,High School,Engineer,reading,2023-12-02,Single Vehicle Collision,Front,Major Damage,Police,PA,Davismouth,6,4,4,1,Yes,12056.12,20235.27,N
POL106477,CA,300,917.04,64,MALE,PhD,Clerk,movies,2025-01-09,Multi-vehicle Collision,Side,Major Damage,Ambulance,IL,North Jimmy,11,2,3,3,No,15283.5,13193.91,N
POL102175,PA,400,1006.43,21,MALE,College,Teacher,yachting,2024-09-01,Single Vehicle Collision,Rear,Major Damage,,TX,Jordanside,8,4,4,2,Yes,13535.68,11450.23,N
POL106800,CA,1000,676.9,36,MALE,Masters,Technician,yachting,2024-07-29,Parked Car,Front,Minor Damage,Police,NC,East Brenda,4,2,3,2,No,2935.82,4222.87,N
POL106596,OH,300,1183.41,60,FEMALE,PhD,Technician,paintball,2023-12-28,Single Vehicle Collision,Unknown,Total Loss,Ambulance,OH,Arthurchester,1,3,0,5,Yes,7356.28,6637.97,N
POL106671,NY,800,835.53,73,FEMALE,High School,Sales,paintball,2025-02-16,Parked Car,Unknown,Major Damage,Fire,GA,Kristinfort,22,2,2,1,Yes,2733.16,2475.03,N
POL110744,OH,200,1027.76,30,OTHER,High School,Technician,hiking,2025-08-30,Multi-vehicle Collision,Rear,Major Damage,Police,NC,Lancetown,2,4,4,5,Yes,13688.49,22135.6,N
POL123850,OH,500,1011.15,42,FEMALE,High School,Manager,paintball,2025-10-16,Multi-vehicle Collision,Unknown,Total Loss,Police,NY,Jamesborough,6,3,0,1,Yes,10050.76,15166.53,N
POL123281,NY,300,710.79,54,FEMALE,College,Teacher,chess,2024-03-02,Vehicle Theft,Front,Total Loss,Police,GA,Thompsonland,20,3,0,2,No,22265.66,20593.53,Y
POL122764,PA,600,654.29,42,MALE,PhD,Technician,yachting,2024-02-21,Vehicle Theft,Unknown,Minor Damage,Fire,OH,Carlsonbury,19,2,4,3,No,8088.17,14360.85,Y
POL105960,CA,700,1008.62,21,OTHER,PhD,Technician,chess,2024-10-13,Parked Car,Unknown,Major Damage,Ambulance,GA,North Wendyview,9,3,0,0,No,14219.02,12151.83,N
POL106205,NY,1000,1322.46,72,FEMALE,Masters,Sales,paintball,2025-10-22,Vehicle Theft,Front,Total Loss,Fire,CA,Port Maria,19,4,2,3,Yes,4548.48,5607.75,N
POL115764,OH,800,1415.14,44,MALE,PhD,Engineer,paintball,2025-08-23,Parked Car,Front,Total Loss,Ambulance,TX,North Raymond,17,1,2,3,No,6301.65,10265.64,N
POL103614,NC,400,1288.17,61,MALE,Masters,Sales,yachting,2023-11-13,Multi-vehicle Collision,Unknown,Major Damage,Police,MI,Michaelview,17,3,2,4,Yes,25307.78,21335.78,N
POL119688,NC,300,757.14,32,OTHER,PhD,Teacher,chess,2025-03-16,Vehicle Theft,Unknown,Major Damage,Police,NY,Lake Jordanshire,11,1,1,2,Yes,1857.2,1686.94,N
POL127841,NY,1000,1256.03,54,MALE,Masters,Doctor,movies,2024-04-26,Single Vehicle Collision,Unknown,Total Loss,Ambulance,PA,Garrisonmouth,11,1,0,0,No,14915.51,20452.08,Y
POL112151,FL,200,687.88,32,FEMALE,PhD,Technician,chess,2025-05-19,Parked Car,Front,Minor Damage,Ambulance,FL,Harrisonhaven,7,2,3,5,Yes,20160.23,22637.38,N
POL109364,PA,600,824.63,45,FEMALE,PhD,Teacher,paintball,2023-12-01,Single Vehicle Collision,Front,Minor Damage,Police,OH,Haydenland,9,1,3,4,Yes,23714.8,24257.17,N
POL110787,PA,800,622.28,73,FEMALE,High School,Technician,movies,2024-05-01,Multi-vehicle Collision,Rear,Major Damage,Ambulance,MI,New Sharonport,6,4,0,5,Yes,17480.11,17647.47,N
POL112841,NY,800,643.88,59,FEMALE,High School,Technician,paintball,2023-12-16,Parked Car,Side,Minor Damage,Ambulance,CA,North Mark,6,4,1,1,No,8070.25,9176.65,N
POL127510,IL,400,667.73,69,OTHER,College,Technician,yachting,2024-06-26,Single Vehicle Collision,Side,Minor Damage,Police,IL,West April,1,2,3,3,No,3262.35,3951.16,N
POL126549,PA,200,917.58,36,OTHER,PhD,Doctor,movies,2025-11-08,Parked Car,Front,Minor Damage,Ambulance,IL,East Carolynfurt,7,4,0,4,No,6768.28,6287.13,N
POL120886,IL,700,1257.27,24,OTHER,High School,Clerk,reading,2024-12-28,Parked Car,Unknown,Minor Damage,Ambulance,NC,West Garrett,18,1,2,2,No,18796.9,23383.11,Y
POL109310,IL,200,1283.63,51,FEMALE,High School,Engineer,yachting,2024-10-16,Parked Car,Rear,Total Loss,,CA,Deborahmouth,14,3,2,5,Yes,12335.96,13585.98,N
POL127997,FL,1000,695.81,30,OTHER,PhD,Manager,camping,2024-04-05,Vehicle Theft,Front,Total Loss,Police,NC,Davidville,0,1,1,2,Yes,7042.7,9633.03,N
POL114893,CA,200,1420.17,30,MALE,College,Teacher,hiking,2024-10-28,Multi-vehicle Collision,Front,Total Loss,,MI,Williamport,16,4,2,2,Yes,12781.34,19513.88,N
POL112114,IL,1000,1114.86,55,OTHER,Masters,Manager,camping,2025-06-28,Vehicle Theft,Rear,Total Loss,Fire,NC,West Nathan,5,2,2,5,Yes,6312.68,8582.31,N
POL102287,GA,200,1471.32,32,OTHER,College,Clerk,chess,2024-06-26,Single Vehicle Collision,Unknown,Major Damage,,FL,Drakebury,8,2,4,2,No,8713.23,11313.66,N
POL127413,PA,300,1211.15,22,MALE,PhD,Teacher,camping,2025-04-10,Single Vehicle Collision,Side,Total Loss,Ambulance,MI,Williamview,2,3,1,2,No,14851.16,17380.88,Y
POL122121,NC,800,1172.28,54,FEMALE,PhD,Doctor,chess,2024-02-05,Single Vehicle Collision,Side,Total Loss,Fire,PA,Estradashire,7,2,3,4,No,3564.12,4413.68,N
POL108455,PA,400,861.85,49,FEMALE,High School,Teacher,yachting,2025-02-05,Single Vehicle Collision,Unknown,Minor Damage,Ambulance,CA,North Amy,11,2,1,2,No,13226.11,14185.24,N
POL126125,NY,400,1198.28,30,OTHER,PhD,Engineer,reading,2024-11-29,Vehicle Theft,Unknown,Minor Damage,Ambulance,CA,Port Davidview,4,4,0,4,Yes,5248.88,7578.72,N
POL117850,MI,1000,1105.12,39,FEMALE,High School,Clerk,camping,2024-11-24,Parked Car,Unknown,Major Damage,,IL,Denisetown,21,3,0,4,Yes,9134.15,9328.8,Y
POL101507,TX,400,769.1,37,FEMALE,College,Sales,hiking,2023-11-15,Parked Car,Side,Total Loss,Ambulance,MI,Parsonsbury,21,2,2,0,Yes,8783.96,16683.36,N
POL114581,TX,1000,627.92,18,MALE,Masters,Teacher,reading,2025-10-03,Multi-vehicle Collision,Rear,Major Damage,Fire,IL,South Rileychester,20,2,3,0,No,4381.26,4106.81,N
POL118402,GA,600,1305.1,63,OTHER,High School,Manager,reading,2025-03-12,Multi-vehicle Collision,Side,Major Damage,Ambulance,NC,Baldwinmouth,23,2,2,0,No,12273.3,12883.78,N
POL102117,GA,400,641.8,18,OTHER,Masters,Doctor,reading,2025-03-29,Single Vehicle Collision,Unknown,Minor Damage,Fire,MI,New Sophiaside,14,4,2,4,No,6094.54,5455.5,N
POL120365,CA,500,1280.14,32,FEMALE,PhD,Teacher,camping,2024-01-19,Multi-vehicle Collision,Rear,Major Damage,Fire,FL,Campbellville,3,2,3,4,No,19863.67,24658.6,N
POL126251,TX,400,1129.67,51,MALE,High School,Manager,reading,2025-06-04,Parked Car,Unknown,Total Loss,Fire,PA,New Markshire,5,2,3,5,No,14462.17,16515.17,N
POL127712,NY,600,1081.23,66,MALE,PhD,Engineer,yachting,2024-01-24,Single Vehicle Collision,Front,Major Damage,Police,CA,New Russellmouth,10,1,4,5,Yes,5069.28,8423.33,N
POL122757,NC,600,1090.21,67,MALE,College,Clerk,reading,2024-06-15,Parked Car,Front,Minor Damage,Ambulance,TX,West Luishaven,4,4,4,2,No,15280.82,17117.17,Y
POL111439,PA,800,1332.86,50,MALE,College,Lawyer,paintball,2024-08-01,Vehicle Theft,Side,Total Loss,,FL,Yorkview,11,4,3,0,No,16322.18,22565.05,Y
POL128744,OH,1000,1367.92,71,FEMALE,PhD,Engineer,reading,2025-03-11,Single Vehicle Collision,Front,Major Damage,,CA,Sharonville,22,1,4,2,No,8421.59,9357.03,Y
POL115973,CA,400,1011.9,56,FEMALE,College,Engineer,yachting,2023-12-20,Parked Car,Unknown,Total Loss,,MI,Jamesside,19,3,3,4,Yes,10290.97,18601.52,N
POL125780,IL,1000,764.7,30,FEMALE,High School,Manager,reading,2025-05-15,Vehicle Theft,Front,Total Loss,Ambulance,OH,Estradabury,0,4,4,3,No,9645.61,14961.62,N
POL113039,MI,800,626.21,23,MALE,High School,Manager,camping,2024-08-05,Vehicle Theft,Front,Total Loss,Fire,CA,South Michaela,2,1,2,4,Yes,930.95,1109.4,N
POL115527,CA,600,1238.01,31,MALE,PhD,Teacher,movies,2025-06-19,Parked Car,Front,Minor Damage,,PA,Garciamouth,14,1,2,2,No,5514.69,6947.81,N
POL122189,GA,200,846.19,60,OTHER,College,Doctor,chess,2024-05-19,Multi-vehicle Collision,Rear,Minor Damage,Police,NC,Robertsland,1,2,4,5,No,5365.69,6918.48,N
POL106616,PA,300,898.09,49,OTHER,High School,Manager,hiking,2023-11-29,Parked Car,Rear,Minor Damage,Police,NC,Susanview,21,4,0,0,No,7970.22,15377.7,N
POL122083,IL,700,1172.55,49,MALE,College,Engineer,yachting,2025-09-15,Multi-vehicle Collision,Front,Minor Damage,Police,IL,West Steven,19,4,4,0,Yes,9456.82,11216.3,N
POL110539,CA,600,1371.02,40,FEMALE,PhD,Sales,hiking,2025-07-08,Parked Car,Side,Total Loss,,NC,East Seanville,17,2,3,0,No,16084.86,14092.65,N
POL109993,OH,1000,1421.25,38,MALE,College,Sales,movies,2025-02-01,Multi-vehicle Collision,Front,Minor Damage,Police,GA,Amandaton,6,3,4,3,No,12530.79,16665.96,N
POL117766,NC,200,1070.36,38,FEMALE,PhD,Sales,paintball,2024-12-06,Parked Car,Unknown,Major Damage,Police,TX,Timothystad,1,3,0,3,No,13920.75,16131.15,N
POL116276,CA,800,655.57,27,MALE,College,Engineer,camping,2024-12-05,Single Vehicle Collision,Unknown,Total Loss,Ambulance,GA,Kathychester,10,4,4,5,Yes,16644.13,23758.2,N
POL115868,CA,800,642.0,55,OTHER,PhD,Lawyer,movies,2024-11-22,Multi-vehicle Collision,Front,Major Damage,Ambulance,FL,Matthewburgh,23,4,1,2,No,10120.77,19513.22,N
POL114147,GA,500,733.39,62,MALE,High School,Teacher,chess,2025-05-25,Multi-vehicle Collision,Side,Minor Damage,,OH,Harmonbury,21,4,4,0,No,1053.92,1102.54,Y
POL103986,IL,500,830.05,63,OTHER,College,Doctor,hiking,2024-01-20,Multi-vehicle Collision,Side,Total Loss,Fire,NY,Fosterborough,13,3,4,3,Yes,18894.06,15847.95,N
POL123132,OH,600,961.95,39,MALE,Masters,Lawyer,hiking,2024-04-06,Parked Car,Unknown,Total Loss,,MI,Sandersshire,11,2,1,4,Yes,15697.16,19468.7,N
POL103969,TX,500,994.93,62,FEMALE,High School,Technician,paintball,2025-06-04,Parked Car,Front,Total Loss,Fire,GA,Kennethfurt,20,4,4,0,Yes,5344.49,8809.62,N
POL129706,NY,500,742.96,58,FEMALE,PhD,Doctor,camping,2025-08-18,Parked Car,Rear,Major Damage,Ambulance,FL,Laceyborough,9,4,0,0,No,14913.52,21396.23,N
POL126287,OH,300,613.2,51,MALE,High School,Manager,yachting,2024-06-16,Multi-vehicle Collision,Front,Major Damage,,TX,Hansonbury,12,4,3,2,Yes,12642.87,14231.98,N
POL117749,MI,800,1408.23,26,MALE,Masters,Sales,paintball,2024-07-06,Single Vehicle Collision,Side,Total Loss,Fire,FL,Emmabury,1,1,2,3,Yes,19260.59,21798.72,Y
POL112493,TX,800,1317.0,74,FEMALE,High School,Teacher,yachting,2024-03-07,Multi-vehicle Collision,Rear,Total Loss,Ambulance,GA,Salinasshire,1,2,2,5,No,6744.3,6505.72,N
POL118777,TX,1000,1009.98,54,OTHER,College,Technician,reading,2025-05-08,Parked Car,Rear,Minor Damage,Ambulance,OH,South Brittanyfurt,22,1,0,3,No,2767.42,2869.2,N
POL121929,OH,700,1136.68,39,OTHER,College,Technician,hiking,2024-02-20,Single Vehicle Collision,Unknown,Major Damage,,IL,Jenniferhaven,22,4,0,1,Yes,11557.69,11108.92,N
POL109062,OH,400,1149.69,58,FEMALE,High School,Sales,yachting,2025-07-03,Vehicle Theft,Unknown,Total Loss,Ambulance,TX,Garciamouth,2,3,2,4,No,10570.37,20670.34,N
POL121014,PA,500,1186.8,43,OTHER,College,Teacher,camping,2025-09-03,Vehicle Theft,Rear,Major Damage,Ambulance,PA,Barrystad,14,2,1,2,Yes,13774.73,23982.96,N
POL101707,PA,700,647.9,53,FEMALE,PhD,Sales,paintball,2024-01-21,Vehicle Theft,Front,Major Damage,Ambulance,NC,East Elizabeth,16,3,2,3,No,8227.11,13433.42,N
POL126292,OH,1000,837.1,60,FEMALE,PhD,Manager,chess,2024-05-24,Multi-vehicle Collision,Rear,Minor Damage,,FL,Kellychester,22,3,2,5,No,17465.02,18150.43,Y
POL111359,CA,200,1253.21,33,FEMALE,Masters,Teacher,movies,2025-06-28,Multi-vehicle Collision,Unknown,Total Loss,Fire,CA,Port Tanyatown,12,1,1,2,Yes,20372.44,17820.29,N
POL104102,CA,500,1303.18,62,FEMALE,PhD,Manager,chess,2024-04-24,Single Vehicle Collision,Rear,Total Loss,Police,NC,Whitestad,19,2,1,0,Yes,16852.74,14267.6,Y
POL112622,CA,400,914.64,18,FEMALE,High School,Technician,hiking,2024-12-23,Single Vehicle Collision,Unknown,Major Damage,,MI,Joshualand,5,3,4,1,No,13947.41,12800.28,N
POL125744,OH,700,1173.53,51,FEMALE,High School,Doctor,paintball,2023-12-22,Parked Car,Side,Minor Damage,Fire,PA,Christinachester,9,1,2,1,No,2366.97,3651.29,N
POL114825,MI,400,691.51,40,MALE,Masters,Manager,camping,2024-05-31,Single Vehicle Collision,Rear,Major Damage,,GA,Branchtown,4,3,3,1,Yes,12068.62,22274.94,N
POL113594,PA,500,1292.92,30,OTHER,College,Clerk,reading,2024-02-12,Vehicle Theft,Front,Total Loss,Ambulance,FL,Gibsonport,18,4,2,4,No,1905.04,1924.17,N
POL127714,OH,200,1287.39,56,MALE,High School,Teacher,hiking,2024-10-29,Vehicle Theft,Unknown,Minor Damage,Fire,GA,Cooperton,6,1,2,5,Yes,12816.37,11125.97,N
POL103341,MI,800,1282.64,45,FEMALE,High School,Manager,reading,2025-09-16,Parked Car,Rear,Minor Damage,Ambulance,PA,Zacharyburgh,12,3,2,5,No,8664.58,11326.34,Y
POL100993,NY,700,1297.06,71,MALE,High School,Lawyer,hiking,2024-07-28,Multi-vehicle Collision,Side,Total Loss,Fire,FL,Whiteview,21,3,1,0,No,11835.63,12324.34,Y
POL108058,GA,800,1423.2,51,OTHER,High School,Lawyer,reading,2024-01-13,Single Vehicle Collision,Front,Total Loss,Fire,NY,Lisafurt,1,2,0,3,No,7201.04,10242.63,N
POL106321,CA,200,1050.76,32,OTHER,Masters,Teacher,chess,2024-07-31,Vehicle Theft,Side,Total Loss,,IL,Simonmouth,17,4,2,5,Yes,3474.93,6497.69,N
POL123213,NY,700,868.6,22,OTHER,PhD,Sales,yachting,2024-08-08,Parked Car,Rear,Minor Damage,Fire,TX,Rasmussenfort,4,3,4,4,Yes,17697.07,15035.84,Y
POL128069,MI,500,946.38,46,FEMALE,Masters,Clerk,camping,2024-08-19,Multi-vehicle Collision,Front,Total Loss,Ambulance,GA,North Jenniferview,18,4,1,3,Yes,13076.74,15247.03,N
POL125018,PA,300,831.63,67,OTHER,PhD,Teacher,paintball,2025-01-03,Multi-vehicle Collision,Side,Minor Damage,Ambulance,MI,Churchton,20,1,4,3,Yes,9490.81,15911.32,N
POL113076,FL,600,1183.0,32,OTHER,Masters,Clerk,camping,2025-10-27,Parked Car,Side,Total Loss,Fire,GA,Klineland,12,3,4,1,No,14230.89,23039.42,N
POL118477,GA,800,1006.44,74,MALE,College,Doctor,movies,2023-12-15,Vehicle Theft,Unknown,Total Loss,Police,TX,West William,4,4,3,5,Yes,7805.93,13097.68,N
POL128526,OH,700,954.86,41,OTHER,High School,Lawyer,paintball,2024-08-31,Multi-vehicle Collision,Side,Minor Damage,Ambulance,FL,Port Hannah,9,4,2,0,No,16105.87,13816.97,N
POL103663,IL,800,873.42,22,OTHER,College,Clerk,chess,2025-03-09,Multi-vehicle Collision,Unknown,Major Damage,Ambulance,FL,Riceburgh,8,4,4,5,No,23045.94,20469.61,Y
POL104477,NC,400,932.39,63,MALE,Masters,Engineer,paintball,2025-02-18,Vehicle Theft,Side,Major Damage,Ambulance,FL,New Ashleyburgh,19,2,4,4,Yes,1163.49,1834.53,N
POL118642,PA,300,1424.94,60,OTHER,PhD,Lawyer,chess,2025-02-07,Multi-vehicle Collision,Rear,Minor Damage,Fire,NC,Delacruzchester,23,3,1,0,No,4183.07,4712.1,N
POL127649,PA,500,1405.73,22,FEMALE,PhD,Manager,reading,2024-01-16,Vehicle Theft,Front,Total Loss,Police,CA,Leeview,15,4,4,3,Yes,12211.69,14791.37,N
POL118961,GA,800,1453.76,59,FEMALE,College,Engineer,paintball,2025-08-10,Multi-vehicle Collision,Front,Total Loss,Fire,IL,Port Connor,2,1,1,3,Yes,6266.17,12387.42,N
POL107233,FL,700,728.53,19,FEMALE,PhD,Manager,camping,2025-10-08,Multi-vehicle Collision,Front,Total Loss,Ambulance,NC,Rebeccaport,6,3,2,4,Yes,818.87,1238.77,N
POL127214,PA,800,1010.69,74,FEMALE,Masters,Lawyer,chess,2024-08-24,Single Vehicle Collision,Rear,Major Damage,,IL,Munozville,22,1,0,5,No,20006.87,24027.02,N
POL123243,NY,400,719.01,40,FEMALE,PhD,Technician,paintball,2024-12-31,Parked Car,Unknown,Minor Damage,Fire,CA,Smithfurt,20,1,0,2,Yes,473.22,807.0,N
POL114412,NY,200,680.49,50,MALE,PhD,Doctor,movies,2023-12-25,Vehicle Theft,Unknown,Minor Damage,,OH,Lake Christopher,4,1,3,1,No,17653.85,19917.36,N
POL108432,CA,500,1141.95,38,MALE,Masters,Teacher,camping,2025-07-30,Multi-vehicle Collision,Side,Minor Damage,Fire,GA,North Dianefort,8,2,4,5,No,5304.05,9668.74,N
POL105378,FL,700,731.38,27,MALE,High School,Teacher,yachting,2024-11-14,Vehicle Theft,Front,Total Loss,Fire,CA,South Alexandria,3,4,2,1,No,8521.35,13099.76,N
POL111059,MI,200,985.68,45,FEMALE,High School,Manager,hiking,2023-11-11,Parked Car,Rear,Minor Damage,Fire,TX,North Michaelberg,15,3,4,5,No,12313.36,22305.36,N
POL120054,MI,600,1084.48,28,FEMALE,PhD,Doctor,chess,2024-09-21,Vehicle Theft,Front,Total Loss,Ambulance,PA,North Samuelton,5,2,0,4,No,2978.25,3205.3,N
POL113187,GA,700,1150.35,19,FEMALE,PhD,Teacher,hiking,2023-12-28,Single Vehicle Collision,Front,Major Damage,Police,MI,Marksstad,4,3,3,3,No,10881.35,15277.52,Y
POL103028,CA,600,1120.29,34,FEMALE,College,Clerk,yachting,2024-02-27,Parked Car,Unknown,Minor Damage,Police,NC,Fergusonton,20,3,2,3,Yes,430.93,539.58,N
POL110334,GA,600,728.43,45,OTHER,PhD,Engineer,hiking,2024-08-15,Parked Car,Front,Total Loss,,PA,Lake Jonathanborough,7,2,2,4,Yes,8094.67,9207.2,N
POL123617,TX,600,1470.75,32,FEMALE,High School,Lawyer,hiking,2024-11-03,Single Vehicle Collision,Front,Total Loss,Fire,FL,Ryanport,5,1,1,3,No,14368.28,24543.71,N
POL127654,CA,700,992.21,66,OTHER,College,Clerk,chess,2025-09-29,Multi-vehicle Collision,Rear,Total Loss,Police,GA,Lake Matthew,10,3,3,1,Yes,8455.5,7212.18,N
POL102533,OH,600,744.57,30,OTHER,College,Clerk,camping,2025-05-10,Vehicle Theft,Front,Total Loss,Ambulance,PA,Dawnmouth,17,3,3,5,Yes,2980.01,5031.47,N
POL119617,GA,300,902.28,72,OTHER,PhD,Engineer,camping,2024-08-10,Parked Car,Side,Total Loss,Police,FL,Lake Gregory,11,2,3,2,Yes,8757.63,7452.39,N
POL117673,NC,1000,1338.33,66,OTHER,High School,Doctor,reading,2025-03-28,Vehicle Theft,Rear,Major Damage,Fire,TX,New Gregory,4,1,1,0,Yes,13442.15,13623.31,N
POL112956,NC,400,639.03,69,OTHER,High School,Lawyer,hiking,2025-03-09,Vehicle Theft,Side,Total Loss,,MI,Johnsonhaven,6,2,3,4,No,13601.97,15128.82,N
POL105160,NC,600,695.07,71,MALE,High School,Engineer,reading,2024-03-28,Multi-vehicle Collision,Unknown,Minor Damage,Ambulance,NY,North Annetteburgh,12,4,0,2,No,12188.03,13577.21,N
POL116409,NY,400,1099.27,20,FEMALE,College,Clerk,movies,2025-06-28,Multi-vehicle Collision,Front,Minor Damage,,GA,South Andrewchester,14,3,4,2,No,10597.97,9661.26,Y
POL106701,PA,500,799.9,52,MALE,Masters,Doctor,camping,2024-04-28,Vehicle Theft,Front,Major Damage,Fire,NC,East Thomashaven,8,3,2,0,Yes,12121.93,14498.38,N
POL117224,GA,300,1265.52,69,MALE,PhD,Manager,movies,2024-05-02,Parked Car,Front,Total Loss,Police,MI,Mackmouth,7,2,4,2,No,15410.39,20895.85,N
POL121314,TX,800,1087.3,44,FEMALE,Masters,Technician,movies,2024-01-12,Parked Car,Unknown,Major Damage,Police,NC,Moranview,14,2,1,4,No,15407.94,16508.05,N
POL120744,GA,200,922.43,29,FEMALE,Masters,Doctor,paintball,2025-09-09,Multi-vehicle Collision,Front,Minor Damage,Police,GA,Michaelmouth,19,1,4,2,No,27051.09,24755.96,Y
POL109462,CA,700,1451.05,73,MALE,College,Doctor,chess,2024-11-03,Single Vehicle Collision,Rear,Major Damage,Fire,IL,North Nicholasport,5,1,1,5,No,5970.23,9275.96,N
